qid,count,majority,label
silo.pub,4,,"[2, 1, 9, 3]"
www.britannica.com,4,,"[10, 0, 1, 9]"
www.wisegeek.com,4,,"[11, 9, 3, 8]"
theimaginationtree.com,4,,"[5, 3, 10, 6]"
sitn.hms.harvard.edu,4,,"[2, 10, 1, 8]"
www.pewsocialtrends.org,4,,"[7, 9, 8, 0]"
www.uscis.gov,4,,"[1, 3, 2, 4]"
www.thetalko.com,4,,"[9, 2, 10, 7]"
www.lifehack.org,4,,"[7, 12, 4, 10]"
www.insider.com,4,,"[2, 0, 11, 9]"
ourworldindata.org,4,,"[4, 2, 0, 1]"
answersingenesis.org,4,,"[1, 5, 10, 0]"
www.gatestoneinstitute.org,4,,"[12, 10, 7, 0]"
www.europarl.europa.eu,4,,"[2, 10, 7, 5]"
www.cambridge.org,4,,"[10, 9, 2, 1]"
www.health.harvard.edu,4,,"[8, 2, 5, 10]"
www.econlib.org,4,,"[5, 9, 3, 1]"
www.nexusmods.com,4,,"[9, 1, 10, 12]"
www.sparknotes.com,4,,"[1, 10, 5, 7]"
www.self.com,4,,"[0, 4, 7, 5]"
www.stageoflife.com,4,,"[5, 12, 4, 6]"
prd-idrc.azureedge.net,4,,"[3, 12, 5, 1]"
ec.europa.eu,4,,"[10, 3, 5, 2]"
www.marketwatch.com,4,,"[4, 6, 5, 3]"
www.7cups.com,4,,"[4, 10, 12, 7]"
www.irishtimes.com,4,,"[4, 5, 2, 0]"
www.girlsaskguys.com,4,,"[10, 12, 5, 11]"
www.eatthis.com,4,,"[7, 9, 3, 4]"
dailycollegian.com,4,,"[0, 10, 12, 5]"
thehill.com,4,,"[3, 0, 2, 10]"
www.nogettingoffthistrain.com,4,,"[6, 7, 3, 12]"
www.allrecipes.com,4,,"[8, 9, 3, 5]"
www.onehundreddollarsamonth.com,4,,"[4, 10, 0, 7]"
www.boredpanda.com,4,,"[10, 9, 7, 5]"
www.tutorialspoint.com,4,,"[10, 1, 13, 4]"
www.actforlibraries.org,4,,"[2, 1, 9, 8]"
bmcpublichealth.biomedcentral.com,4,,"[6, 10, 8, 1]"
www.thespruce.com,4,,"[5, 9, 3, 11]"
aspe.hhs.gov,4,,"[5, 3, 9, 2]"
www.ninds.nih.gov,4,,"[3, 2, 5, 10]"
dev.rickhanson.net,4,,"[11, 3, 6, 1]"
www.who.int,4,,"[5, 4, 2, 9]"
www.supremecourt.gov,4,,"[3, 12, 0, 10]"
www.loomio.org,4,,"[12, 1, 7, 5]"
burnetnewsclub.com,4,,"[0, 7, 3, 5]"
law.emory.edu,4,,"[12, 6, 1, 10]"
sweden.se,4,,"[7, 5, 0, 11]"
asoiaf.westeros.org,4,,"[12, 3, 7, 1]"
www.ohchr.org,4,,"[1, 3, 5, 10]"
docplayer.org,4,,"[2, 9, 4, 10]"
course-notes.org,4,,"[1, 7, 10, 4]"
www.fdu.edu,4,,"[2, 9, 1, 10]"
childprotectionresource.online,4,,"[4, 5, 11, 9]"
www.betterhealth.vic.gov.au,4,,"[0, 8, 5, 4]"
www.usnews.com,4,,"[5, 0, 10, 1]"
reliefweb.int,4,,"[0, 1, 5, 10]"
scholarcommons.usf.edu,4,,"[2, 12, 10, 0]"
www.copdfoundation.org,4,,"[5, 9, 13, 11]"
workplace.stackexchange.com,4,,"[11, 12, 10, 6]"
www.columbia.edu,4,,"[1, 8, 9, 2]"
www.beliefnet.com,4,,"[5, 1, 12, 7]"
www.catholicworldreport.com,4,,"[2, 5, 1, 4]"
www.thisoldhouse.com,4,,"[7, 2, 5, 3]"
www.uspto.gov,4,,"[5, 0, 1, 2]"
www.gamesindustry.biz,4,,"[5, 2, 9, 6]"
www.plannedparenthood.org,4,,"[1, 4, 5, 9]"
www.sportingnews.com,4,,"[0, 7, 9, 1]"
inamerica.blogs.cnn.com,4,,"[1, 13, 3, 0]"
dadsdivorce.com,4,,"[1, 9, 5, 3]"
www.toptal.com,4,,"[6, 4, 9, 8]"
answers.microsoft.com,4,,"[8, 1, 11, 12]"
reproductiverights.org,4,,"[5, 11, 2, 7]"
www.fanfiction.net,4,,"[12, 8, 1, 11]"
armytage.net,4,,"[5, 9, 7, 4]"
www.unicef.org,4,,"[3, 0, 8, 7]"
bemoacademicconsulting.com,4,,"[10, 3, 9, 7]"
greatergood.berkeley.edu,4,,"[4, 5, 11, 1]"
www.slayerment.com,4,,"[3, 7, 9, 0]"
ips-dc.org,4,,"[10, 12, 0, 5]"
idoc.pub,4,,"[10, 0, 12, 4]"
www.reuters.com,4,,"[5, 6, 0, 7]"
www.popularmechanics.com,4,,"[4, 13, 8, 2]"
dxschool.org,4,,"[3, 7, 10, 0]"
www.selfgrowth.com,4,,"[1, 5, 4, 3]"
copyblogger.com,4,,"[10, 3, 12, 11]"
genetics.thetech.org,4,,"[10, 8, 5, 7]"
kidsit.com,4,,"[2, 9, 5, 10]"
www.health.ny.gov,4,,"[3, 2, 5, 10]"
www.empoweringparents.com,4,,"[12, 3, 4, 5]"
blog.writeathome.com,4,,"[3, 11, 10, 2]"
www.cbc.ca,4,,"[7, 10, 3, 0]"
www.nraila.org,4,,"[5, 1, 0, 9]"
www.veritas.org,4,,"[0, 9, 12, 7]"
www.outsidethebeltway.com,4,,"[5, 10, 3, 4]"
www.commonwealthfund.org,4,,"[6, 1, 2, 5]"
www.jcs.mil,4,,"[10, 4, 12, 2]"
debatewise.org,4,,"[11, 6, 10, 9]"
www.nngroup.com,4,,"[2, 8, 4, 9]"
dengarden.com,4,,"[7, 9, 2, 1]"
my.clevelandclinic.org,4,,"[7, 8, 1, 4]"
www.houseofhepworths.com,4,,"[9, 4, 7, 8]"
www.thrillist.com,4,,"[0, 7, 3, 1]"
www.consumer.ftc.gov,4,,"[3, 5, 0, 2]"
stackoverflow.blog,4,,"[5, 3, 8, 1]"
digitalcommons.wcl.american.edu,4,,"[10, 9, 1, 4]"
kennettvet.com,4,,"[10, 7, 3, 4]"
support.google.com,4,,"[3, 10, 0, 11]"
www.oricom.ca,4,,"[4, 2, 7, 11]"
www.drupal.org,4,,"[8, 7, 12, 10]"
dc.etsu.edu,4,,"[9, 10, 1, 12]"
misslays.com,4,,"[10, 4, 3, 1]"
www.collinsdictionary.com,4,,"[10, 4, 11, 9]"
www.kerrysiggins.com,4,,"[7, 1, 3, 5]"
www.sciencedirect.com,4,,"[8, 10, 4, 9]"
www.theroot.com,4,,"[5, 3, 9, 7]"
www.international.gc.ca,4,,"[5, 3, 0, 9]"
macaulay.cuny.edu,4,,"[0, 1, 10, 4]"
www.mindbodygreen.com,4,,"[6, 7, 4, 2]"
www.snopes.com,4,,"[11, 2, 3, 9]"
www.sightline.org,4,,"[5, 0, 8, 7]"
www.thefreelibrary.com,4,,"[10, 4, 12, 0]"
www.danieldrezner.com,4,,"[3, 5, 13, 4]"
hubpages.com,4,,"[9, 10, 5, 12]"
losangeles.cbslocal.com,4,,"[0, 4, 9, 6]"
iag.me,4,,"[3, 6, 5, 10]"
armorgames.com,4,,"[1, 8, 12, 5]"
www.brainline.org,4,,"[11, 1, 5, 4]"
www.unhcr.org,4,,"[2, 4, 6, 5]"
www.citizensadvice.org.uk,4,,"[1, 7, 5, 10]"
dcs.az.gov,4,,"[2, 11, 4, 3]"
www.davidwygant.com,4,,"[7, 5, 10, 3]"
um-insight.net,4,,"[5, 3, 10, 0]"
www.insidehighered.com,4,,"[3, 12, 11, 4]"
www.slideshare.net,4,,"[1, 10, 8, 12]"
www.csis.org,4,,"[5, 4, 7, 8]"
www.dissentmagazine.org,4,,"[8, 0, 7, 3]"
www.khanacademy.org,4,,"[10, 7, 8, 5]"
library.oapen.org,4,,"[1, 3, 9, 10]"
www.ntia.doc.gov,4,,"[10, 2, 8, 4]"
apps.who.int,4,,"[2, 1, 4, 12]"
www.dcaf.ch,4,,"[0, 13, 2, 10]"
statmodeling.stat.columbia.edu,4,,"[7, 10, 3, 2]"
www.idrc.ca,4,,"[10, 2, 5, 1]"
www.charleston-sc.gov,4,,"[10, 5, 9, 2]"
boe.es,4,,"[13, 12, 1, 2]"
www.wto.org,4,,"[6, 10, 7, 9]"
publications.parliament.uk,4,,"[2, 5, 10, 9]"
www.5esrd.com,4,,"[5, 3, 7, 12]"
www.voltairenet.org,4,,"[13, 12, 2, 5]"
pteacademicexam.com,4,,"[12, 7, 8, 5]"
connectusfund.org,4,,"[7, 4, 9, 3]"
www.diputados.gob.mx,4,,"[5, 10, 9, 7]"
cme.lww.com,4,,"[1, 2, 10, 8]"
www.aish.com,4,,"[4, 7, 9, 5]"
dokumen.pub,4,,"[8, 9, 0, 7]"
www.iedconline.org,4,,"[5, 6, 10, 1]"
www.idea.int,4,,"[5, 0, 2, 10]"
www.studenthomeworkhelp.com,4,,"[11, 7, 4, 12]"
regulations.justia.com,4,,"[8, 2, 6, 11]"
www.marieclaire.com,4,,"[7, 6, 9, 5]"
marvel-movies.fandom.com,4,,"[10, 9, 3, 7]"
www.dmv.virginia.gov,4,,"[10, 5, 4, 13]"
www.factcheck.org,4,,"[11, 1, 4, 8]"
solvingtheibspuzzle.com,4,,"[4, 12, 11, 10]"
healthcheck.indiaspend.com,4,,"[2, 8, 0, 13]"
amvoice.3cdn.net,4,,"[10, 13, 12, 9]"
www.healthaffairs.org,4,,"[9, 10, 3, 1]"
www.thebalancesmb.com,4,,"[6, 3, 0, 10]"
www.robgreenfield.org,4,,"[2, 7, 9, 12]"
www.softpanorama.org,4,,"[8, 1, 3, 5]"
www.leblogdeco.fr,4,,"[3, 12, 9, 7]"
lewislawoftrusts.lawbooks.cali.org,4,,"[3, 12, 9, 10]"
foothill.edu,4,,"[9, 13, 5, 10]"
www.enworld.org,4,,"[0, 3, 2, 5]"
scholarworks.uark.edu,4,,"[5, 1, 10, 3]"
worldwarz.fandom.com,4,,"[3, 9, 12, 4]"
www.biblicalarchaeology.org,4,,"[1, 6, 4, 10]"
home.sandiego.edu,4,,"[1, 10, 13, 7]"
www.world-of-lucid-dreaming.com,4,,"[2, 11, 1, 4]"
www.prospects.ac.uk,4,,"[12, 10, 3, 7]"
www.lifescied.org,4,,"[2, 3, 7, 4]"
www.jewfaq.org,4,,"[10, 13, 3, 2]"
justone.co.uk,4,,"[12, 9, 0, 7]"
thejustoneproject.org,4,,"[12, 2, 0, 10]"
ayehu.com,4,,"[2, 1, 11, 7]"
www.ibanet.org,4,,"[13, 9, 2, 10]"
www.baltimoresun.com,4,,"[5, 13, 9, 6]"
masspeaceaction.org,4,,"[1, 4, 7, 12]"
www.salon.com,4,,"[3, 4, 12, 0]"
www.chausa.org,4,,"[13, 5, 7, 6]"
forums.larian.com,4,,"[11, 1, 2, 12]"
thenocturnalrambler.blogspot.com,4,,"[10, 1, 12, 3]"
www.i-scoop.eu,4,,"[10, 8, 9, 4]"
www.nosurveynohumanverification.com,4,,"[9, 8, 0, 10]"
isocpp.github.io,4,,"[8, 4, 10, 13]"
socialconcerns.nd.edu,4,,"[4, 10, 5, 12]"
www.ncaa.org,4,,"[0, 9, 10, 1]"
www.iup.edu,4,,"[10, 4, 5, 7]"
www.spanishdict.com,4,,"[11, 0, 8, 10]"
lovesedona.com,4,,"[5, 7, 3, 10]"
business.linkedin.com,4,,"[1, 9, 3, 6]"
www.amazon.com,4,,"[6, 9, 3, 8]"
magoosh.com,4,,"[10, 4, 9, 3]"
www.ielts-mentor.com,4,,"[3, 10, 7, 0]"
www.wanderlustworker.com,4,,"[0, 10, 7, 3]"
forums.golfwrx.com,4,,"[3, 5, 12, 1]"
mlblogssnaggingbaseballs.wordpress.com,4,,"[0, 10, 3, 7]"
www.mlbtraderumors.com,4,,"[12, 3, 0, 4]"
insight.kellogg.northwestern.edu,4,,"[0, 2, 10, 9]"
thephilosophicalprimate.wordpress.com,4,,"[1, 3, 4, 10]"
ultramunch.com,4,,"[10, 7, 3, 2]"
www.thorne.com,4,,"[2, 0, 8, 5]"
schoolafm.com,4,,"[1, 9, 5, 10]"
featurepoints.com,4,,"[5, 10, 3, 7]"
www.bilderberg.org,4,,"[10, 2, 5, 3]"
www.journalism.org,4,,"[8, 0, 3, 9]"
webapps.stackexchange.com,4,,"[11, 6, 12, 1]"
www.nintendolife.com,4,,"[7, 5, 10, 8]"
upjourney.com,4,,"[9, 10, 1, 11]"
www.sec.gov,4,,"[1, 9, 10, 6]"
www.apartmentlist.com,4,,"[9, 3, 6, 10]"
tonsofthanks.com,4,,"[7, 1, 8, 11]"
www.helpscout.com,4,,"[9, 0, 3, 8]"
forums.galaxy-of-heroes.starwars.ea.com,4,,"[8, 5, 1, 12]"
mvslim.com,4,,"[7, 5, 3, 4]"
kennedy.byu.edu,4,,"[4, 5, 10, 7]"
positivesharing.com,4,,"[3, 5, 2, 4]"
lifedynamics.com,4,,"[7, 5, 0, 3]"
medicalschoolhq.net,4,,"[8, 5, 3, 9]"
jois.eu,4,,"[1, 12, 5, 7]"
www.marketing91.com,4,,"[6, 11, 10, 2]"
data.oireachtas.ie,4,,"[3, 10, 4, 1]"
digitalcommons.law.uw.edu,4,,"[10, 5, 3, 8]"
allvintagecards.com,4,,"[10, 3, 13, 11]"
coolmaterial.com,4,,"[3, 1, 5, 10]"
blog.samaltman.com,4,,"[3, 10, 5, 9]"
philosophyhubblog.wordpress.com,4,,"[10, 13, 4, 3]"
repository.asu.edu,4,,"[4, 10, 1, 2]"
www.bowdoin.edu,4,,"[12, 1, 7, 10]"
www.tdx.cat,4,,"[1, 10, 0, 9]"
www.bet.com,4,,"[9, 10, 0, 7]"
scheerpost.com,4,,"[5, 11, 13, 3]"
omnicenter.org,4,,"[9, 5, 12, 7]"
vertavahealth.com,4,,"[1, 3, 4, 8]"
www.stridentconservative.com,4,,"[10, 12, 1, 5]"
www.noqreport.com,4,,"[8, 10, 1, 5]"
www.geisinger.org,4,,"[9, 3, 4, 11]"
sourcesofinsight.com,4,,"[4, 3, 10, 11]"
raywilliams.ca,4,,"[6, 3, 8, 2]"
www.mindtools.com,4,,"[13, 4, 5, 6]"
patterns.architexturez.net,4,,"[1, 6, 7, 0]"
www.dreamencyclopedia.net,4,,"[9, 13, 11, 3]"
familydoctor.org,4,,"[10, 9, 11, 2]"
aeon.co,4,,"[9, 4, 0, 2]"
www.prepscholar.com,4,,"[6, 10, 3, 11]"
www.epainassist.com,4,,"[8, 4, 3, 10]"
work.chron.com,4,,"[5, 9, 4, 3]"
www.kainosworksmart.com,4,,"[8, 10, 1, 3]"
www.scienceforums.net,4,,"[8, 4, 12, 13]"
www.mindcontroversy.com,4,,"[5, 4, 7, 9]"
www.reproductivefacts.org,4,,"[0, 4, 9, 1]"
www.chronicle.com,4,,"[2, 1, 8, 11]"
aslopubs.onlinelibrary.wiley.com,4,,"[10, 4, 5, 1]"
digitalcommons.brockport.edu,4,,"[5, 3, 7, 1]"
files.eric.ed.gov,4,,"[10, 8, 1, 4]"
www.uphelp.org,4,,"[5, 1, 4, 11]"
www.thehighroad.org,4,,"[1, 4, 9, 5]"
blog.hurree.co,4,,"[13, 1, 8, 3]"
www.ctc.ca.gov,4,,"[2, 7, 5, 4]"
cals.ncsu.edu,4,,"[0, 3, 5, 9]"
solarsystem.nasa.gov,4,,"[9, 8, 11, 10]"
www.h2g2.com,4,,"[9, 7, 1, 2]"
thriveglobal.com,4,,"[4, 9, 1, 2]"
www.eonline.com,4,,"[4, 1, 3, 0]"
www.whitecoatinvestor.com,4,,"[1, 6, 3, 4]"
popdirt.com,4,,"[1, 7, 10, 5]"
www.lifeinthecircus.com,4,,"[1, 3, 9, 10]"
spoonuniversity.com,4,,"[1, 9, 11, 10]"
www.target.com,4,,"[4, 3, 1, 8]"
www.thefrugalgirl.com,4,,"[6, 3, 5, 2]"
www.nutritionadvance.com,4,,"[2, 0, 7, 9]"
www.alamy.com,4,,"[9, 2, 3, 1]"
www.wisebread.com,4,,"[8, 10, 4, 6]"
www.eater.com,4,,"[2, 9, 4, 3]"
www.precisionnutrition.com,4,,"[10, 4, 2, 7]"
www.orchidsandonions.org,4,,"[3, 4, 9, 2]"
www.walmart.com,4,,"[5, 9, 1, 2]"
